V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.30581e-07,1.009874,3.404693e-07,1.01369,1.0299118824130848
2.0,3.602458e-07,2.01007,3.553023e-07,2.008986,0.9862774250248024
3.0,3.913955e-07,3.006459,3.86946e-07,3.009736,0.9886317037370128
4.0,4.037541e-07,4.006087,4.190847e-07,4.010491,1.0379701407366515
5.0,4.116675e-07,5.001959,4.250164e-07,5.001402,1.0324264120922833
6.0,4.260058e-07,6.021245,4.255137e-07,6.021834,0.9988448514081263
7.0,4.443e-07,7.019272,4.393565e-07,7.013835,0.9888735088903894
8.0,4.640765e-07,8.011821,4.61109e-07,8.012347,0.9936055801144854
9.0,4.774283e-07,9.019708,4.80889e-07,9.013156,1.0072486276996986
10.0,4.803939e-07,10.01225,4.947369e-07,10.01018,1.0298567488055115
11.0,4.902836e-07,11.0223,4.912706e-07,11.02225,1.0020131205694012
12.0,5.125337e-07,12.02471,5.041261e-07,12.02301,0.9835960054919315
13.0,6.78664e-07,13.02219,5.817566e-07,13.02224,0.8572085744934165
14.0,5.782879e-07,14.01514,6.885498e-07,14.01742,1.19066956095744
15.0,6.756965e-07,15.01549,5.881769e-07,15.01044,0.8704749839609944
16.0,6.336695e-07,16.01406,6.90522e-07,16.00295,1.089719483105941
17.0,6.31688e-07,17.02505,6.257565e-07,17.0262,0.9906100796595787
18.0,7.281055e-07,18.02645,6.672897e-07,18.02861,0.9164739175847455
19.0,6.321845e-07,19.02389,7.211839e-07,19.01958,1.140780737268946
20.0,7.459035e-07,20.01808,6.504799e-07,20.02578,0.8720697784632998
21.0,6.653053e-07,21.0197,7.627159e-07,21.0167,1.1464148865190162
22.0,7.201901e-07,22.03365,6.717406e-07,22.03546,0.9327267897739777
23.0,7.587578e-07,23.03065,7.533206e-07,23.0307,0.9928340769610541
24.0,6.920128e-07,24.03044,7.617255e-07,24.02762,1.100739032572808
25.0,8.09686e-07,25.02348,7.132711e-07,25.02018,0.8809230985838955
26.0,7.137665e-07,26.02097,8.17099e-07,26.01429,1.144770733846433
27.0,8.111704e-07,27.02065,7.231627e-07,27.01963,0.8915052866820584
28.0,7.948601e-07,28.0331,8.403443e-07,28.03404,1.057222899979506
29.0,7.661758e-07,29.03302,7.879336e-07,29.0304,1.0283979212081615
30.0,8.571587e-07,30.02751,7.884258e-07,30.02997,0.9198130987878907
31.0,7.651912e-07,31.02435,8.576471e-07,31.02638,1.1208271867214363
32.0,8.937452e-07,32.02676,7.849654e-07,32.0304,0.8782876819925858
33.0,8.264973e-07,33.03876,9.159916e-07,33.03993,1.108281418463194
34.0,8.388557e-07,34.03231,8.260034e-07,34.03299,0.9846787713309929
35.0,9.090734e-07,35.03288,8.729721e-07,35.02982,0.9602878051431271
36.0,8.314433e-07,36.02746,8.892859e-07,36.02554,1.069568905059431
37.0,9.708725e-07,37.02816,8.512237e-07,37.03763,0.8767615727090837
38.0,8.714895e-07,38.02991,9.753217e-07,38.02451,1.1191433746476578
39.0,9.229117e-07,39.03726,8.76927e-07,39.04641,0.9501743232857488
40.0,9.466439e-07,40.03689,9.59e-07,40.03176,1.013052532214067
41.0,8.996759e-07,41.03671,9.402229e-07,41.04178,1.0450684518725022
42.0,1.028231e-06,42.03592,9.243977e-07,42.03528,0.8990175359427989
43.0,9.209288e-07,43.02199,1.034654e-06,43.03211,1.1234896769435379
44.0,1.023778e-06,44.05475,9.338025e-07,44.0428,0.9121142474247346
45.0,9.728419e-07,45.03591,1.047509e-06,45.05157,1.076751525607604
46.0,9.871811e-07,46.03287,9.772988e-07,46.03974,0.9899893747965798
47.0,1.083603e-06,47.03835,1.023773e-06,47.03547,0.9447860517182031
48.0,9.871882e-07,48.03637,1.079647e-06,48.0451,1.0936587370067836
49.0,1.107338e-06,49.0356,1.001027e-06,49.02867,0.9039940831074161
50.0,1.025747e-06,50.04565,1.12612e-06,50.04803,1.0978535642804708
51.0,1.088547e-06,51.04571,1.040581e-06,51.04539,0.9559357565635658
52.0,1.139962e-06,52.0429,1.142432e-06,52.04277,1.0021667388912965
53.0,1.076179e-06,53.03919,1.140457e-06,53.03928,1.0597279820550298
54.0,1.193852e-06,54.04094,1.096937e-06,54.0346,0.9188215959767206
55.0,1.108316e-06,55.05427,1.207703e-06,55.05403,1.0896738836216384
56.0,1.204727e-06,56.05051,1.122656e-06,56.05183,0.931875852371533
57.0,1.202748e-06,57.04462,1.238349e-06,57.04312,1.029599716648874
58.0,1.164183e-06,58.04977,1.205719e-06,58.04668,1.0356782395894804
59.0,1.285831e-06,59.04217,1.200774e-06,59.04142,0.9338505604546786
60.0,1.195332e-06,60.03761,1.286805e-06,60.04325,1.076525182961721
61.0,1.322898e-06,61.05594,1.216599e-06,61.0545,0.9196468661983009
62.0,1.279399e-06,62.04964,1.357507e-06,62.05009,1.0610505401364234
63.0,1.293234e-06,63.05262,1.287796e-06,63.04503,0.9957950378663104
64.0,1.364426e-06,64.04379,1.330809e-06,64.04731,0.9753618004933943
65.0,1.304602e-06,65.04462,1.374322e-06,65.04221,1.0534415860162716
66.0,1.451451e-06,66.05975,1.334269e-06,66.05965,0.919265617647444
67.0,1.37681e-06,67.05813,1.475178e-06,67.0526,1.0714463143062587
68.0,1.444529e-06,68.06232,1.389651e-06,68.05704,0.9620097623516037
69.0,1.461828e-06,69.04856,1.478643e-06,69.05096,1.0115027212503795
70.0,1.436126e-06,70.04811,1.479636e-06,70.05356,1.0302967845439746
71.0,1.579507e-06,71.04759,1.474684e-06,71.04301,0.9336356217477985
72.0,1.495947e-06,72.0564,1.606701e-06,72.06197,1.0740360453946565
73.0,1.599778e-06,73.05774,1.52265e-06,73.06283,0.9517883106280997
74.0,1.586921e-06,74.05352,1.644769e-06,74.05455,1.036452980331094
75.0,1.602244e-06,75.05183,1.609173e-06,75.0511,1.0043245598048738
76.0,1.731297e-06,76.04366,1.656146e-06,76.0476,0.9565926585675363
77.0,1.654664e-06,77.06258,1.757497e-06,77.06652,1.062147360430879
78.0,1.802988e-06,78.05708,1.691248e-06,78.05496,0.9380251005553004
79.0,1.743649e-06,79.05145,1.839084e-06,79.05959,1.0547329192974044
80.0,1.815346e-06,80.04862,1.779762e-06,80.04823,0.980398227114831
81.0,1.906322e-06,81.04234,1.875669e-06,81.04567,0.9839203450413939
82.0,1.85441e-06,82.0383,1.945877e-06,82.03925,1.0493240437659417
83.0,2.012623e-06,83.05521,1.904842e-06,83.05649,0.946447496625051
84.0,1.956756e-06,84.05062,2.057129e-06,84.04864,1.0512956137607345
85.0,2.072948e-06,85.04488,2.003729e-06,85.04495,0.9666084243309528
86.0,2.125847e-06,86.04105,2.138733e-06,86.04018,1.0060615839239606
87.0,2.11153e-06,87.03724,2.163918e-06,87.03635,1.024810445506339
88.0,2.266273e-06,88.0527,2.181719e-06,88.04915,0.9626902848862428
89.0,2.220298e-06,89.04936,2.330051e-06,89.04948,1.0494316528682186
90.0,2.381467e-06,90.04729,2.283578e-06,90.04437,0.9588955043256949
91.0,2.401745e-06,91.03904,2.465029e-06,91.03781,1.026349175287135
92.0,2.442289e-06,92.03487,2.463047e-06,92.03349,1.008499403633231
93.0,2.590129e-06,93.0342,2.525347e-06,93.03539,0.9749888905147195
94.0,2.568849e-06,94.05166,2.65984e-06,94.04843,1.0354209219771189
95.0,2.775038e-06,95.04248,2.650444e-06,95.04365,0.9551018760824177
96.0,2.768154e-06,96.04242,2.859084e-06,96.03754,1.0328486059662865
97.0,2.867988e-06,97.03625,2.844243e-06,97.03525,0.9917206766555509
98.0,2.990096e-06,98.025,2.984172e-06,98.03076,0.9980187927076589
99.0,3.021756e-06,99.04591,3.086523e-06,99.04965,1.021433563795356
100.0,3.249193e-06,100.0434,3.131512e-06,100.0361,0.963781468198411
101.0,3.247188e-06,101.0307,3.361433e-06,101.0383,1.0351827488891927
