V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.459073e-07,1.019141,3.533248e-07,1.015327,1.021443606422877
2.0,3.617293e-07,2.012799,3.755732e-07,2.015524,1.0382714366793069
3.0,3.790347e-07,3.010276,3.874405e-07,3.013008,1.0221768613797102
4.0,4.007902e-07,4.004486,3.963405e-07,4.010488,0.9888976826279684
5.0,4.294655e-07,5.004117,4.235369e-07,5.018913,0.9861953986990807
6.0,4.398501e-07,6.015251,4.442992e-07,6.017964,1.0101150369182592
7.0,4.472661e-07,7.01708,4.517151e-07,7.018154,1.0099470986064
8.0,4.502324e-07,8.015638,4.606155e-07,8.015638,1.0230616454968589
9.0,4.754496e-07,9.012051,4.665498e-07,9.012596,0.9812812966926463
10.0,4.972044e-07,10.0117,4.897882e-07,10.01553,0.9850842027946657
11.0,5.041309e-07,11.0273,5.080822e-07,11.02337,1.0078378452897847
12.0,5.075848e-07,12.0213,5.209388e-07,12.02252,1.026308904443159
13.0,5.891692e-07,13.0205,6.603668e-07,13.0183,1.12084406313161
14.0,6.227887e-07,14.01574,6.089454e-07,14.01904,0.9777720758260388
15.0,6.954738e-07,15.01113,6.232831e-07,15.01049,0.8961992529409448
16.0,6.010341e-07,16.01397,7.117844e-07,16.01064,1.1842662504506816
17.0,7.276086e-07,17.02399,6.133961e-07,17.03003,0.8430303050293798
18.0,6.331751e-07,18.0292,7.439234e-07,18.02524,1.1749094365839716
19.0,7.083268e-07,19.02061,6.485004e-07,19.02388,0.9155384209661416
20.0,7.276121e-07,20.0307,7.226672e-07,20.02087,0.9932039337993417
21.0,6.643245e-07,21.01291,7.389836e-07,21.01944,1.1123834812655564
22.0,7.829855e-07,22.03265,6.806362e-07,22.03367,0.8692832753607825
23.0,6.826125e-07,23.02836,7.859428e-07,23.02,1.151374755077002
24.0,7.998028e-07,24.02619,6.850842e-07,24.02036,0.8565663936160263
25.0,7.473828e-07,25.02493,8.096798e-07,25.01726,1.0833535371699752
26.0,7.459062e-07,26.0194,7.587589e-07,26.01984,1.0172309869525151
27.0,8.161113e-07,27.01671,7.651881e-07,27.01956,0.9376026284650145
28.0,7.365084e-07,28.03765,8.220456e-07,28.03331,1.1161387976023083
29.0,8.79401e-07,29.04065,7.503514e-07,29.03454,0.8532528391484658
30.0,7.80021e-07,30.03817,8.902785e-07,30.02559,1.14135196360098
31.0,8.428124e-07,31.02631,7.94853e-07,31.02797,0.9430959962145787
32.0,8.492376e-07,32.02314,8.566571e-07,32.03199,1.0087366597993306
33.0,8.106765e-07,33.04318,8.581392e-07,33.04196,1.0585470283152403
34.0,9.377434e-07,34.0411,8.205624e-07,34.03289,0.8750393764434918
35.0,8.255067e-07,35.03254,9.491174e-07,35.03374,1.1497391844306049
36.0,9.283505e-07,36.03011,8.462728e-07,36.02838,0.9115875954178944
37.0,8.813762e-07,37.03125,9.461494e-07,37.03355,1.0734909792209046
38.0,8.917606e-07,38.02333,8.823545e-07,38.01185,0.9894522139686369
39.0,9.861985e-07,39.04323,9.080781e-07,39.04214,0.9207863325689504
40.0,8.838509e-07,40.03798,9.946039e-07,40.03907,1.1253073340763695
41.0,1.010923e-06,41.03777,8.937333e-07,41.04168,0.8840765320405215
42.0,9.18458e-07,42.03058,1.02427e-06,42.03293,1.115206138985125
43.0,9.946003e-07,43.0286,9.29843e-07,43.03256,0.9348911316435355
44.0,1.014381e-06,44.04533,1.011906e-06,44.04465,0.997560088369163
45.0,9.60488e-07,45.0439,1.037127e-06,45.04507,1.079791730870141
46.0,1.074205e-06,46.0396,9.7878e-07,46.038,0.9111668629358456
47.0,9.797731e-07,47.04933,1.092992e-06,47.03757,1.1155562446039802
48.0,1.10289e-06,48.03387,9.842109e-07,48.02926,0.892392623017708
49.0,1.056406e-06,49.03042,1.115738e-06,49.02933,1.0561640126996628
50.0,1.04701e-06,50.04745,1.075195e-06,50.04811,1.0269195136627158
51.0,1.135019e-06,51.04274,1.067775e-06,51.0432,0.9407551767855867
52.0,1.058377e-06,52.04051,1.147871e-06,52.04227,1.0845577710022045
53.0,1.200278e-06,53.04012,1.072222e-06,53.03802,0.8933113828629702
54.0,1.118203e-06,54.03817,1.219561e-06,54.03872,1.0906436487829132
55.0,1.169128e-06,55.05687,1.13452e-06,55.05423,0.9703984508112028
56.0,1.187422e-06,56.04942,1.183961e-06,56.04938,0.9970852822332751
57.0,1.151829e-06,57.0488,1.211156e-06,57.04585,1.0515067774817268
58.0,1.293725e-06,58.04822,1.171602e-06,58.05263,0.9056035865427351
59.0,1.190399e-06,59.04016,1.313997e-06,59.04242,1.1038290522757495
60.0,1.296194e-06,60.04078,1.211649e-06,60.04093,0.9347744241988468
61.0,1.25516e-06,61.05753,1.309055e-06,61.05381,1.0429387488447688
62.0,1.268502e-06,62.04915,1.279883e-06,62.05237,1.0089720000441464
63.0,1.377781e-06,63.04934,1.295207e-06,63.04691,0.9400673982294719
64.0,1.280371e-06,64.05022,1.409423e-06,64.04781,1.1007926608771987
65.0,1.422769e-06,65.03967,1.311524e-06,65.04298,0.9218109194113733
66.0,1.345145e-06,66.05845,1.443539e-06,66.0597,1.07314750454412
67.0,1.423263e-06,67.05532,1.372828e-06,67.0562,0.9645638227088036
68.0,1.46282e-06,68.05344,1.445513e-06,68.05551,0.9881687425657292
69.0,1.417336e-06,69.05653,1.495944e-06,69.05134,1.0554617959326513
70.0,1.546873e-06,70.05055,1.437113e-06,70.04745,0.929043948662883
71.0,1.46282e-06,71.04857,1.580496e-06,71.04704,1.0804446206641967
72.0,1.594337e-06,72.05962,1.489509e-06,72.05861,0.9342497853339663
73.0,1.576536e-06,73.05757,1.622518e-06,73.05811,1.0291664763760549
74.0,1.579007e-06,74.05661,1.611145e-06,74.04843,1.020353297990446
75.0,1.679377e-06,75.04704,1.611152e-06,75.05061,0.9593748157798994
76.0,1.618077e-06,76.04385,1.721403e-06,76.04179,1.0638572824408232
77.0,1.786691e-06,77.06101,1.653669e-06,77.05956,0.9255484020460168
78.0,1.719923e-06,78.05647,1.816335e-06,78.05315,1.056055997855718
79.0,1.795075e-06,79.05661,1.774803e-06,79.05334,0.9887068785426794
80.0,1.84155e-06,80.04583,1.82375e-06,80.05238,0.9903342293176943
81.0,1.823268e-06,81.04497,1.887517e-06,81.03993,1.035238374172091
82.0,1.993833e-06,82.03586,1.862816e-06,82.03993,0.9342888797607422
83.0,1.919672e-06,83.05527,2.046743e-06,83.0554,1.0661941206622798
84.0,2.041802e-06,84.047,1.967627e-06,84.04871,0.9636717957960664
85.0,2.046738e-06,85.04796,2.087776e-06,85.04523,1.020050441238693
86.0,2.081356e-06,86.0414,2.106073e-06,86.04337,1.0118754312092693
87.0,2.238584e-06,87.04807,2.132278e-06,87.03648,0.9525119450509787
88.0,2.166398e-06,88.04671,2.298415e-06,88.05448,1.0609384794483747
89.0,2.340427e-06,89.04866,2.23017e-06,89.04811,0.9528902204597707
90.0,2.310765e-06,90.04408,2.395298e-06,90.03642,1.0365822573909507
91.0,2.412117e-06,91.04134,2.375521e-06,91.03661,0.98482826496393
92.0,2.527329e-06,92.04026,2.478873e-06,92.03964,0.980827189495313
93.0,2.507538e-06,93.03613,2.603463e-06,93.03634,1.038254654565554
94.0,2.69939e-06,94.05047,2.583193e-06,94.0497,0.9569543489455025
95.0,2.664774e-06,95.04826,2.779488e-06,95.04302,1.0430483035334328
96.0,2.830405e-06,96.04073,2.748326e-06,96.04331,0.9710009698258729
97.0,2.898627e-06,97.03189,2.918917e-06,97.03688,1.0069998657985315
98.0,2.937208e-06,98.03481,2.999009e-06,98.03638,1.0210407298359532
99.0,3.134483e-06,99.04638,3.042512e-06,99.0456,0.9706583190912186
100.0,3.128048e-06,100.042,3.240788e-06,100.0407,1.036041646419748
101.0,3.355498e-06,101.042,3.238805e-06,101.0358,0.9652233438970907
102.0,3.397001e-06,102.0299,3.475663e-06,102.039,1.023156307578361
103.0,3.514218e-06,103.0279,3.525576e-06,103.0303,1.0032320134948942
104.0,3.70111e-06,104.0357,3.64922e-06,104.0293,0.9859798817111624
105.0,3.754014e-06,105.0408,3.844453e-06,105.0342,1.0240912793612384
106.0,4.032365e-06,106.0406,3.9048e-06,106.04,0.9683647189676531
107.0,4.071409e-06,107.0284,4.187112e-06,107.0346,1.0284184173095847
108.0,9.815658e-05,108.0305,0.0001047662,108.0311,1.0673375131855654
