V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.981706e-07,1.011568,3.881163e-07,1.014295,0.9747487634697288
2.0,4.299819e-07,2.0102,4.158066e-07,2.011105,0.9670327983573263
3.0,4.530559e-07,3.006821,4.37563e-07,3.008096,0.9658035575742419
4.0,4.729999e-07,4.007455,4.57506e-07,4.005992,0.9672433334552502
5.0,4.883271e-07,5.000613,4.762961e-07,5.003898,0.9753628254503999
6.0,5.081063e-07,6.020338,4.924481e-07,6.016517,0.969183220125395
7.0,5.264017e-07,7.014425,5.087663e-07,7.014797,0.9664982084974271
8.0,5.394221e-07,8.011772,5.222805e-07,8.013765,0.9682222882599729
9.0,5.550804e-07,9.009312,5.374454e-07,9.011332,0.9682298276069555
10.0,5.690914e-07,10.00633,5.522788e-07,10.00777,0.9704571181360322
11.0,5.834317e-07,11.02243,5.662883e-07,11.02075,0.9706162692222585
12.0,5.972743e-07,12.01701,5.845835e-07,12.02192,0.9787521411853816
13.0,6.617184e-07,13.01652,6.612258e-07,13.01893,0.9992555745767384
14.0,6.777067e-07,14.01571,6.773772e-07,14.01426,0.9995138014719346
15.0,6.89738e-07,15.01323,6.903983e-07,15.01144,1.0009573200258648
16.0,7.012763e-07,16.0106,7.047372e-07,16.01042,1.0049351446783528
17.0,7.128144e-07,17.02489,7.167688e-07,17.02467,1.0055475871418984
18.0,7.23525e-07,18.02089,7.324279e-07,18.02242,1.012304896168066
19.0,7.380314e-07,19.02249,7.464365e-07,19.02119,1.0113885398371938
20.0,7.507219e-07,20.016,7.594582e-07,20.01657,1.0116371988082404
21.0,7.617655e-07,21.01719,7.741298e-07,21.01437,1.016231110492665
22.0,7.737967e-07,22.03125,7.873126e-07,22.03036,1.017466991006811
23.0,7.859933e-07,23.02896,7.995096e-07,23.02954,1.017196457018145
24.0,7.970363e-07,24.02522,8.148372e-07,24.02596,1.0223338635893997
25.0,8.100593e-07,25.02265,8.270343e-07,25.02442,1.0209552559917527
26.0,8.207716e-07,26.0207,8.392309e-07,26.01849,1.0224901787537484
27.0,8.349463e-07,27.01769,8.50933e-07,27.01748,1.0191469798716397
28.0,8.463213e-07,28.03423,8.639552e-07,28.03343,1.0208359402037972
29.0,8.637898e-07,29.0293,8.781288e-07,29.02838,1.0166001034047867
30.0,8.720306e-07,30.02592,8.899931e-07,30.02509,1.0205984744113337
31.0,8.830726e-07,31.0256,9.049922e-07,31.021,1.0248219682051056
32.0,8.965891e-07,32.025,9.180146e-07,32.02277,1.0238966768612288
33.0,9.130703e-07,33.03723,9.313666e-07,33.03655,1.0200382161154513
34.0,9.226337e-07,34.03346,9.40427e-07,34.02917,1.0192853350143183
35.0,9.377968e-07,35.03171,9.547678e-07,35.03075,1.0180966708353025
36.0,9.508147e-07,36.02822,9.66473e-07,36.02859,1.0164682981868076
37.0,9.672964e-07,37.02573,9.826273e-07,37.02948,1.0158492267726833
38.0,9.811414e-07,38.02418,9.961403e-07,38.02291,1.015287195097465
39.0,9.958102e-07,39.03679,1.012625e-06,39.03947,1.0168855470650933
40.0,1.011139e-06,40.03562,1.025147e-06,40.03374,1.013853683815974
41.0,1.026469e-06,41.03526,1.035199e-06,41.03173,1.0085048842195916
42.0,1.040147e-06,42.03214,1.052014e-06,42.03051,1.0114089643098523
43.0,1.057784e-06,43.02771,1.067508e-06,43.02644,1.009192803067545
44.0,1.074759e-06,44.04282,1.082178e-06,44.04253,1.0069029428923135
45.0,1.090912e-06,45.04076,1.09602e-06,45.04106,1.0046823208471445
46.0,1.1069e-06,46.0383,1.111679e-06,46.04024,1.004317463185473
47.0,1.125195e-06,47.03655,1.127336e-06,47.03577,1.0019027812956864
48.0,1.142994e-06,48.0304,1.142007e-06,48.03173,0.9991364784067108
49.0,1.162939e-06,49.02801,1.161128e-06,49.02955,0.9984427386131173
50.0,1.179252e-06,50.04588,1.174639e-06,50.04451,0.9960881982816225
51.0,1.204303e-06,51.04187,1.196555e-06,51.04091,0.9935664031394092
52.0,1.220454e-06,52.04025,1.213201e-06,52.03896,0.9940571295599834
53.0,1.241714e-06,53.03862,1.231992e-06,53.03725,0.9921704998091347
54.0,1.262319e-06,54.0368,1.248803e-06,54.0355,0.9892927223625724
55.0,1.280116e-06,55.05253,1.270562e-06,55.0519,0.992536613869368
56.0,1.3055e-06,56.04998,1.287367e-06,56.04948,0.9861103025660667
57.0,1.326104e-06,57.04847,1.308468e-06,57.04646,0.9867008922377128
58.0,1.349837e-06,58.04284,1.332038e-06,58.04328,0.9868139634637367
59.0,1.370935e-06,59.04064,1.351978e-06,59.03922,0.9861722109363318
60.0,1.395327e-06,60.03937,1.373574e-06,60.03971,0.9844101060181593
61.0,1.420211e-06,61.05728,1.397302e-06,61.05582,0.9838692982944083
62.0,1.442298e-06,62.04866,1.41873e-06,62.05034,0.9836594101912365
63.0,1.470157e-06,63.04876,1.444939e-06,63.04782,0.9828467299750978
64.0,1.497347e-06,64.04476,1.468671e-06,64.04528,0.9808487945679926
65.0,1.522574e-06,65.0431,1.495042e-06,65.04261,0.9819174634533363
66.0,1.551576e-06,66.05764,1.525204e-06,66.05832,0.9830030884726239
67.0,1.580583e-06,67.05418,1.553554e-06,67.05698,0.982899347898845
68.0,1.611901e-06,68.05181,1.584212e-06,68.05239,0.982822146025097
69.0,1.641238e-06,69.05328,1.61437e-06,69.04903,0.9836294309539506
70.0,1.671233e-06,70.04747,1.644042e-06,70.04713,0.9837299766100837
71.0,1.70634e-06,71.04521,1.678156e-06,71.04445,0.9834827760000938
72.0,1.740459e-06,72.05987,1.714911e-06,72.05819,0.9853211135683173
73.0,1.77837e-06,73.05422,1.747052e-06,73.05431,0.9823894915006438
74.0,1.814959e-06,74.05153,1.786446e-06,74.05266,0.9842900032452524
75.0,1.850227e-06,75.04783,1.822539e-06,75.04825,0.9850353497165483
76.0,1.892261e-06,76.04341,1.865397e-06,76.04184,0.9858032269332825
77.0,1.933628e-06,77.05828,1.910391e-06,77.05675,0.9879826936722058
78.0,1.97615e-06,78.05445,1.951759e-06,78.05363,0.9876573134630467
79.0,2.018676e-06,79.05156,1.995763e-06,79.04978,0.9886494910525513
80.0,2.065156e-06,80.04656,2.047683e-06,80.04739,0.9915391379634274
