V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,2.473935e-07,1.110384,4.351178e-07,1.08857,1.758808537815262
2.0,2.86911e-07,2.014899,3.016946e-07,1.981842,1.0515267800816281
3.0,3.264178e-07,2.973742,4.795553e-07,3.077292,1.4691456777173304
4.0,3.511268e-07,3.998257,4.40031e-07,4.06345,1.2531968508242606
5.0,3.709063e-07,4.96307,3.264286e-07,5.006347,0.8800837300417922
6.0,3.906562e-07,6.014547,4.054792e-07,6.020044,1.0379438493488649
7.0,3.708891e-07,7.011564,3.857115e-07,7.033416,1.0399645069105563
8.0,4.202922e-07,8.019686,3.609882e-07,8.084369,0.8588981665612637
9.0,4.647357e-07,8.994629,3.659406e-07,9.081882,0.7874165896874289
10.0,4.301619e-07,9.964664,3.956128e-07,10.03108,0.9196834959116557
11.0,5.092075e-07,11.01101,4.894412e-07,11.03808,0.9611822292483908
12.0,4.548504e-07,11.99125,4.30154e-07,12.06763,0.9457043458684438
13.0,6.03012e-07,12.92215,5.636065e-07,13.03421,0.9346522125596173
14.0,7.808546e-07,13.99591,4.795162e-07,13.96789,0.61409153509501
15.0,7.611432e-07,14.97771,5.536928e-07,15.0386,0.7274489215695549
16.0,8.105993e-07,16.07965,6.327629e-07,16.08016,0.7806112095088165
17.0,7.512942e-07,17.03819,5.388371e-07,17.02077,0.7172118459053723
18.0,6.42588e-07,17.99653,6.474802e-07,18.0222,1.0076132763139056
19.0,6.178838e-07,19.03167,7.06866e-07,19.07178,1.1440112202326715
20.0,6.77223e-07,20.04177,7.907776e-07,20.03955,1.1676768213719853
21.0,5.981317e-07,21.05354,7.611852e-07,20.9728,1.272604678869219
22.0,6.079918e-07,22.07162,8.353303e-07,22.06387,1.3739170495391548
23.0,5.980764e-07,23.0235,8.550807e-07,23.10436,1.429718176473775
24.0,6.72219e-07,24.04444,9.044026e-07,24.16996,1.3453987465394461
25.0,7.315684e-07,25.03346,7.710391e-07,25.02603,1.053953533258134
26.0,7.117677e-07,26.0563,7.315834e-07,26.16756,1.0278401225568399
27.0,7.561876e-07,27.01908,8.006963e-07,27.05915,1.0588593359637213
28.0,7.117289e-07,28.04344,6.672746e-07,28.06001,0.9375404033754987
29.0,7.019254e-07,29.01699,6.030638e-07,29.00856,0.859156542846291
30.0,7.314983e-07,30.02181,6.67279e-07,30.12534,0.9122085451189702
31.0,6.969566e-07,31.03726,6.672476e-07,31.01178,0.9573732424658867
32.0,7.216184e-07,32.03243,7.808815e-07,32.05346,1.0821252617727042
33.0,7.809301e-07,33.03114,8.006242e-07,33.0062,1.0252187743819836
34.0,7.215544e-07,33.98506,7.809463e-07,34.05637,1.0823110495896082
35.0,8.352254e-07,35.01783,8.006741e-07,35.05736,0.9586323643893013
36.0,8.895577e-07,36.00922,7.956789e-07,36.05712,0.8944657552849017
37.0,9.835123e-07,37.05403,7.858377e-07,37.05625,0.7990115629463913
38.0,1.018131e-06,38.11816,8.254032e-07,38.0231,0.8107043199745416
39.0,1.008135e-06,39.04507,7.907831e-07,39.11622,0.7844019898128722
40.0,9.933082e-07,40.05824,7.907721e-07,39.98741,0.7960994382206852
41.0,9.290894e-07,41.01178,9.143859e-07,41.05577,0.9841742893633271
42.0,9.044026e-07,42.1131,8.698289e-07,42.00991,0.9617717817264126
43.0,8.797089e-07,43.0234,9.440027e-07,43.0435,1.073085312652856
44.0,9.04409e-07,44.03145,9.981698e-07,44.04292,1.1036707949611293
45.0,8.205029e-07,45.04414,1.14153e-06,45.02861,1.3912565086607251
46.0,8.747689e-07,46.04211,1.171119e-06,46.01267,1.338775303968854
47.0,8.450697e-07,46.99739,1.017993e-06,47.0156,1.2046260799552986
48.0,9.438891e-07,48.1104,1.0723e-06,47.9894,1.1360444781065913
49.0,1.042797e-06,49.0316,1.057588e-06,49.05185,1.014183968691893
50.0,1.013075e-06,50.1062,1.003217e-06,50.0747,0.9902692298201021
51.0,1.037864e-06,51.10275,9.488288e-07,50.97095,0.9142130375463453
52.0,9.835053e-07,52.02286,1.013082e-06,52.04095,1.0300727408383057
53.0,9.833933e-07,53.02426,9.785163e-07,53.03349,0.9950406414198674
54.0,1.003181e-06,54.06665,1.092334e-06,54.10674,1.0888703035643617
55.0,1.136573e-06,55.09188,1.032776e-06,55.03936,0.908675465632212
56.0,1.047662e-06,56.04587,9.734309e-07,55.95572,0.929145945925308
57.0,1.072316e-06,57.04031,1.185938e-06,57.02986,1.1059594373300408
58.0,1.121818e-06,58.03248,1.18599e-06,58.08421,1.0572035749114383
59.0,1.195835e-06,59.07949,1.136771e-06,59.08076,0.9506085705803894
60.0,1.274985e-06,60.06597,1.082226e-06,60.0117,0.8488146919375522
61.0,1.319303e-06,61.08318,1.111794e-06,61.00993,0.8427131599033731
62.0,1.348951e-06,62.03173,1.121754e-06,62.07728,0.831575053504538
63.0,1.343992e-06,63.03873,1.146462e-06,63.02588,0.8530273989726129
64.0,1.33916e-06,64.0414,1.265104e-06,64.12567,0.9446996624749844
65.0,1.250238e-06,65.03313,1.141464e-06,64.91304,0.9129973653016467
66.0,1.314363e-06,66.05776,1.294576e-06,66.06709,0.9849455591796179
67.0,1.289731e-06,67.09127,1.334171e-06,66.99757,1.0344567975802705
68.0,1.304484e-06,68.08465,1.388317e-06,67.94635,1.064265257373797
69.0,1.225448e-06,69.03271,1.442818e-06,69.02835,1.1773800275491086
70.0,1.294642e-06,70.04292,1.516971e-06,70.01734,1.1717300999040663
